service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21L1009,1,1,1,1,1,0,0,20200101,20211231
51RTP19,1,1,1,1,1,0,0,20200101,20211231
22L1001,0,0,0,0,0,1,0,20200101,20211231
53RTP13,0,0,0,0,0,0,1,20200101,20211231
71L1004,1,1,1,1,1,0,0,20200101,20211231
73L1008,0,0,0,0,0,0,1,20200101,20211231
23L1003,0,0,0,0,0,0,1,20200101,20211231
41TRL12,1,1,1,1,1,0,0,20200101,20211231
72L1006,0,0,0,0,0,1,0,20200101,20211231
31L1000,1,1,1,1,1,0,0,20200101,20211231
52RTP11,0,0,0,0,0,1,0,20200101,20211231
41TRL24,1,1,1,1,1,1,1,20200101,20211231
5157AX1,1,1,1,1,1,1,1,20200101,20211231
32L1002,0,0,0,0,0,1,0,20200101,20211231
33L1004,0,0,0,0,0,0,1,20200101,20211231
61TL107,1,1,1,1,1,0,0,20200101,20211231
42TRL14,1,1,1,1,1,0,0,20200101,20211231
61TL209,1,1,1,1,1,0,0,20200101,20211231
62TL109,0,0,0,0,0,1,0,20200101,20211231
43TRL16,0,0,0,0,0,1,0,20200101,20211231
63TL101,0,0,0,0,0,0,1,20200101,20211231
44TRL18,0,0,0,0,0,0,1,20200101,20211231
53RTP25,0,0,0,0,0,0,1,20200101,20211231
31L5009,1,1,1,1,1,1,1,20200101,20211231
54034B7,0,0,1,1,1,0,0,20200101,20211231
51RTPN8,1,1,1,1,1,1,1,20200101,20211231
11COREN,1,1,1,1,0,0,0,20200101,20211231
13CISEN,0,0,0,0,1,1,0,20200101,20211231
14CISEN,0,0,0,0,0,0,1,20200101,20211231
11CISEN,1,1,1,0,0,0,0,20200101,20211231
12CISEN,0,0,0,1,0,0,0,20200101,20211231
17CISEN,0,0,0,0,1,1,0,20200101,20211231
14CC109,0,0,0,0,0,0,1,20200101,20211231
12COREN,0,0,0,0,1,1,0,20200101,20211231
51034B1,1,0,0,0,0,0,0,20200101,20211231
52034B3,0,1,0,0,0,0,0,20200101,20211231
31L6001,1,1,1,1,1,0,0,20200101,20211231
11CEUS2,1,1,1,1,1,0,0,20200101,20211231
12SAUS3,0,0,0,0,0,0,1,20200101,20211231
11SAUS1,1,1,1,1,1,1,0,20200101,20211231
52RTPN0,1,0,0,0,0,1,1,20200101,20211231
12CEUS4,0,0,0,0,0,1,1,20200101,20211231
31L7003,1,1,1,1,1,1,0,20200101,20211231
31L7004,0,0,0,0,0,0,1,20200101,20211231
31L7005,1,1,1,1,1,1,0,20200101,20211231
31L7006,0,0,0,0,0,0,1,20200101,20211231
31L7007,1,1,1,1,1,1,0,20200101,20211231
31L7008,0,0,0,0,0,0,1,20200101,20211231
31L7009,1,1,1,1,1,1,0,20200101,20211231
31L7010,0,0,0,0,0,0,1,20200101,20211231
31L7011,1,1,1,1,1,0,0,20200101,20211231
31L7012,0,0,0,0,0,1,0,20200101,20211231
31L7013,0,0,0,0,0,0,1,20200101,20211231
31L7014,1,1,1,1,1,0,0,20200101,20211231
31L7015,0,0,0,0,0,1,0,20200101,20211231
31L7016,0,0,0,0,0,0,1,20200101,20211231
31L7017,1,1,1,1,1,0,0,20200101,20211231
31L7018,1,1,1,1,1,0,0,20200101,20211231
31L7019,0,0,0,0,0,0,1,20200101,20211231
31L7020,0,0,0,0,0,0,1,20200101,20211231
31L7021,0,0,0,0,0,0,1,20200101,20211231
31L7022,0,0,0,0,0,0,1,20200101,20211231
11CC103,1,1,1,1,1,1,1,20200101,20211231
