trip_id,start_time,end_time,headway_secs,exact_times
2100L1112,05:00:00,10:00:00,120,0
2100L2114,05:00:00,10:00:00,130,0
2100L2215,05:00:00,10:00:00,130,0
2100L3116,05:00:00,10:00:00,125,0
2100L3217,05:00:00,10:00:00,125,0
2100L4118,05:00:00,24:00:00,350,0
2100L4219,05:00:00,24:00:00,350,0
2100L5112,05:00:00,10:00:00,230,0
2100L6113,05:00:00,10:00:00,240,0
2100L1124,10:00:00,17:00:00,130,0
2100L1136,17:00:00,24:00:00,120,0
2200L1114,06:00:00,24:00:00,130,0
2300L1116,07:00:00,24:00:00,180,0
2100L2126,10:00:00,17:00:00,140,0
2100L2138,17:00:00,24:00:00,130,0
2200L2116,06:00:00,24:00:00,140,0
2300L2118,07:00:00,24:00:00,140,0
2100L2227,10:00:00,17:00:00,140,0
2100L2239,17:00:00,24:00:00,130,0
2200L2217,06:00:00,24:00:00,140,0
2300L2219,07:00:00,24:00:00,140,0
2100L3128,10:00:00,17:00:00,165,0
2100L3130,17:00:00,24:00:00,125,0
2200L3118,06:00:00,24:00:00,170,0
2300L3110,07:00:00,24:00:00,230,0
2100L3229,10:00:00,17:00:00,165,0
2100L3231,17:00:00,24:00:00,125,0
2200L3219,06:00:00,24:00:00,170,0
2300L3211,07:00:00,24:00:00,230,0
2200L4110,06:00:00,24:00:00,350,0
2300L4112,07:00:00,24:00:00,350,0
2200L4211,06:00:00,24:00:00,350,0
2300L4213,07:00:00,24:00:00,350,0
2100L5124,10:00:00,17:00:00,290,0
2100L5136,17:00:00,24:00:00,230,0
2200L5114,06:00:00,24:00:00,290,0
2300L5116,07:00:00,24:00:00,330,0
2100L5213,05:00:00,10:00:00,230,0
2100L5225,10:00:00,17:00:00,290,0
2100L5237,17:00:00,24:00:00,230,0
2200L5215,06:00:00,24:00:00,290,0
2300L5217,07:00:00,24:00:00,330,0
2100L6125,10:00:00,17:00:00,300,0
2200L6115,06:00:00,24:00:00,300,0
2100L6137,17:00:00,24:00:00,240,0
2300L6117,07:00:00,24:00:00,300,0
2100L6214,05:00:00,10:00:00,240,0
2100L6226,10:00:00,17:00:00,300,0
2100L6238,17:00:00,24:00:00,240,0
2200L6216,06:00:00,24:00:00,300,0
2300L6218,07:00:00,24:00:00,300,0
2100L7115,05:00:00,10:00:00,225,0
2100L7127,10:00:00,17:00:00,255,0
2100L7139,17:00:00,24:00:00,225,0
2200L7117,06:00:00,24:00:00,300,0
2300L7119,07:00:00,24:00:00,335,0
2100L7216,05:00:00,10:00:00,225,0
2100L7228,10:00:00,17:00:00,255,0
2100L7230,17:00:00,24:00:00,225,0
2200L7218,06:00:00,24:00:00,300,0
2300L7210,07:00:00,24:00:00,335,0
2100L8117,05:00:00,10:00:00,170,0
2100L8129,10:00:00,17:00:00,225,0
2100L8131,17:00:00,24:00:00,170,0
2200L8119,06:00:00,24:00:00,210,0
2300L8111,07:00:00,24:00:00,225,0
2100L9119,05:00:00,10:00:00,140,0
2100L9121,10:00:00,17:00:00,195,0
2100L9133,17:00:00,24:00:00,140,0
2200L9111,06:00:00,24:00:00,240,0
2300L9113,07:00:00,24:00:00,260,0
2100L9210,05:00:00,10:00:00,140,0
2100L9222,10:00:00,17:00:00,195,0
2100L9234,17:00:00,24:00:00,140,0
2200L9212,06:00:00,24:00:00,240,0
2300L9214,07:00:00,24:00:00,260,0
2100LA112,05:00:00,10:00:00,195,0
2100LA124,17:00:00,24:00:00,195,0
2100LA136,10:00:00,17:00:00,235,0
2200LA114,06:00:00,24:00:00,235,0
2300LA116,07:00:00,24:00:00,235,0
2100LA213,05:00:00,10:00:00,195,0
2100LA225,10:00:00,17:00:00,235,0
2100LA237,17:00:00,24:00:00,195,0
2200LA215,06:00:00,24:00:00,235,0
2300LA217,07:00:00,24:00:00,265,0
2100LB114,05:00:00,10:00:00,170,0
2100LB126,10:00:00,17:00:00,240,0
2100LB138,17:00:00,24:00:00,135,0
2200LB116,06:00:00,24:00:00,195,0
2300LB118,07:00:00,24:00:00,235,0
2100LB215,05:00:00,10:00:00,170,0
2100LB227,10:00:00,17:00:00,240,0
2100LB239,17:00:00,24:00:00,170,0
2200LB217,06:00:00,24:00:00,195,0
2300LB219,07:00:00,24:00:00,235,0
51039A117,04:30:00,19:00:00,1680,0
51039A129,19:00:00,23:30:00,2280,0
52039A119,05:55:00,19:00:00,1980,0
52039A121,19:00:00,23:00:00,2580,0
53039A111,05:55:00,18:30:00,1980,0
53039A123,18:30:00,23:00:00,2580,0
51039A218,04:30:00,19:00:00,1680,0
51039A220,19:00:00,23:30:00,2280,0
52039A210,05:55:00,19:00:00,1980,0
52039A222,19:00:00,23:00:00,2580,0
53039A212,05:55:00,18:30:00,1980,0
53039A224,18:30:00,23:00:00,2580,0
51039B119,04:30:00,19:30:00,1980,0
51039B121,19:30:00,24:30:00,2940,0
52039B111,05:05:00,19:00:00,2280,0
52039B123,19:00:00,23:00:00,3240,0
53039B113,05:05:00,18:30:00,2280,0
53039B125,18:30:00,23:00:00,3240,0
510141118,07:00:00,19:00:00,5100,0
510141120,19:00:00,22:40:00,5100,0
520141110,07:00:00,18:00:00,5400,0
520141122,18:00:00,22:40:00,5400,0
530141112,07:00:00,18:00:00,5400,0
530141124,18:00:00,22:40:00,5400,0
510141219,07:00:00,19:00:00,5100,0
510141221,19:00:00,22:40:00,5100,0
520141211,07:00:00,18:00:00,5400,0
520141223,18:00:00,22:40:00,5400,0
530141213,07:00:00,18:00:00,5400,0
530141225,18:00:00,22:40:00,5400,0
510142110,04:15:00,19:00:00,600,0
510142122,19:00:00,23:15:00,780,0
520142112,05:00:00,19:00:00,780,0
520142124,19:00:00,23:00:00,1080,0
530142114,05:00:00,19:00:00,1080,0
530142126,19:00:00,23:00:00,900,0
510142211,04:15:00,19:00:00,600,0
510142223,19:00:00,23:15:00,780,0
520142213,05:00:00,19:00:00,900,0
520142225,19:00:00,23:00:00,1080,0
530142215,05:00:00,19:00:00,900,0
530142227,19:00:00,23:00:00,1080,0
510143112,04:20:00,19:00:00,2040,0
510143124,19:00:00,24:34:00,2100,0
520143114,05:00:00,19:00:00,2340,0
520143126,19:00:00,23:00:00,2400,0
530143116,05:00:00,19:00:00,2340,0
530143128,19:00:00,23:00:00,2400,0
510143213,04:20:00,19:00:00,2040,0
510143225,19:00:00,24:30:00,2100,0
520143215,05:00:00,19:00:00,2340,0
520143227,19:00:00,23:00:00,2400,0
530143217,05:00:00,19:00:00,2340,0
530143229,19:00:00,23:00:00,2400,0
510144114,04:30:00,19:00:00,2520,0
510144126,19:00:00,24:05:00,3780,0
520144116,04:40:00,18:30:00,2820,0
520144128,18:30:00,22:00:00,3600,0
530144118,04:40:00,18:30:00,2820,0
530144120,18:30:00,22:00:00,3600,0
510144215,04:30:00,19:00:00,2820,0
510144227,19:00:00,24:05:00,3780,0
520144217,04:40:00,18:30:00,2820,0
520144229,18:30:00,22:00:00,3600,0
530144219,04:40:00,18:30:00,2820,0
530144221,18:30:00,22:00:00,3600,0
51144C119,03:40:00,19:00:00,1260,0
51144C121,19:00:00,22:50:00,1440,0
52144C111,05:00:00,19:00:00,1560,0
52144C123,19:00:00,22:00:00,1740,0
53144C113,05:00:00,19:00:00,1560,0
53144C125,19:00:00,22:00:00,1740,0
51144C210,03:40:00,19:00:00,1260,0
51144C222,19:00:00,22:50:00,1440,0
52144C212,05:00:00,19:00:00,1560,0
52144C224,19:00:00,22:00:00,1740,0
53144C214,05:00:00,19:00:00,1560,0
53144C226,19:00:00,22:00:00,1740,0
510145117,05:00:00,19:00:00,1560,0
510145129,19:00:00,24:00:00,2640,0
520145119,05:00:00,19:00:00,1860,0
520145121,19:00:00,22:00:00,2940,0
530145111,05:00:00,19:00:00,1860,0
530145123,19:00:00,22:00:00,2940,0
510145218,05:00:00,19:00:00,1560,0
510145220,19:00:00,24:00:00,2640,0
520145210,05:00:00,19:00:00,1860,0
520145222,19:00:00,22:00:00,2940,0
530145212,05:00:00,19:00:00,1860,0
530145224,19:00:00,22:00:00,2940,0
51145A116,04:50:00,19:00:00,2100,0
51145A128,19:00:00,24:20:00,3000,0
52145A118,05:00:00,19:00:00,2400,0
52145A120,19:00:00,23:00:00,3300,0
53145A110,05:00:00,19:00:00,2400,0
53145A122,19:00:00,23:00:00,3300,0
51145A217,04:50:00,19:00:00,2100,0
51145A229,19:00:00,24:20:00,3000,0
52145A219,05:00:00,19:00:00,2400,0
52145A221,19:00:00,23:00:00,3300,0
53145A211,05:00:00,19:00:00,2400,0
53145A223,19:00:00,23:00:00,3300,0
510146119,04:50:00,19:00:00,1920,0
510146121,19:00:00,23:00:00,3720,0
520146111,05:22:00,18:30:00,2220,0
520146123,18:30:00,22:30:00,4020,0
530146113,05:22:00,18:30:00,2220,0
530146125,18:30:00,22:30:00,4020,0
510146210,04:50:00,19:00:00,1920,0
510146222,19:00:00,23:00:00,3720,0
520146212,05:22:00,18:30:00,2220,0
520146224,18:30:00,22:30:00,4020,0
530146214,05:22:00,18:30:00,2220,0
530146226,18:30:00,22:30:00,4020,0
510147111,04:35:00,19:00:00,2520,0
510147123,19:00:00,23:05:00,5460,0
520147113,05:30:00,18:30:00,2820,0
520147125,18:30:00,22:30:00,5760,0
530147115,05:30:00,18:30:00,2820,0
530147127,18:30:00,22:30:00,5760,0
510147212,04:35:00,19:00:00,2520,0
510147224,19:00:00,23:05:00,5460,0
520147214,05:30:00,18:30:00,2820,0
520147226,18:30:00,22:30:00,5760,0
530147216,05:30:00,18:30:00,2820,0
530147228,18:30:00,22:30:00,5760,0
510148113,04:00:00,19:00:00,2700,0
510148125,19:00:00,24:30:00,6840,0
520148115,05:00:00,19:00:00,3000,0
520148127,19:00:00,22:00:00,7140,0
530148117,05:00:00,19:00:00,3000,0
530148129,19:00:00,22:00:00,7140,0
510148214,04:00:00,19:00:00,2700,0
510148226,19:00:00,24:30:00,6840,0
520148216,05:00:00,19:00:00,3000,0
520148228,19:00:00,22:00:00,7140,0
530148218,05:00:00,19:00:00,3000,0
530148220,19:00:00,22:00:00,7140,0
510149115,04:20:00,19:00:00,3120,0
510149127,19:00:00,23:15:00,2760,0
520149117,05:00:00,19:00:00,3420,0
520149129,19:00:00,22:00:00,3060,0
530149119,05:00:00,19:00:00,3420,0
530149121,19:00:00,22:00:00,3060,0
510149216,04:20:00,19:00:00,3120,0
510149228,19:00:00,23:15:00,2760,0
520149218,05:00:00,19:00:00,3420,0
520149220,19:00:00,22:00:00,3420,0
530149210,05:00:00,19:00:00,3060,0
530149222,19:00:00,22:00:00,3060,0
5139AX116,05:20:00,19:00:00,1440,0
5139AX128,19:00:00,23:00:00,1800,0
5239AX118,05:00:00,19:00:00,1800,0
5239AX120,19:00:00,23:00:00,2040,0
5339AX110,05:00:00,19:00:00,2100,0
5339AX122,19:00:00,23:00:00,2100,0
5139AX217,05:20:00,19:00:00,1440,0
5139AX229,19:00:00,23:00:00,1800,0
5239AX219,05:00:00,19:00:00,1800,0
5239AX211,19:00:00,23:00:00,2040,0
5339AX211,05:00:00,19:00:00,2100,0
5339AX223,19:00:00,23:00:00,2100,0
51046C110,05:05:00,18:30:00,660,0
51046C122,18:30:00,22:35:00,720,0
52046C112,05:25:00,18:30:00,960,0
52046C124,18:30:00,22:15:00,1020,0
53046C114,05:25:00,18:30:00,960,0
53046C126,18:30:00,22:15:00,1020,0
51046C211,05:05:00,18:30:00,660,0
51046C223,18:30:00,22:35:00,720,0
52046C213,05:25:00,18:30:00,960,0
52046C225,18:30:00,22:15:00,1020,0
53046C215,05:25:00,18:30:00,960,0
53046C227,18:30:00,22:15:00,1020,0
52047A119,05:00:00,19:00:00,660,0
52047A121,19:00:00,24:00:00,660,0
53047A111,05:00:00,19:00:00,960,0
53047A123,19:00:00,24:00:00,960,0
54047A113,05:00:00,19:00:00,960,0
54047A125,19:00:00,24:00:00,960,0
51047A218,05:00:00,19:00:00,660,0
51047A220,19:00:00,24:00:00,660,0
52047A210,05:00:00,19:00:00,960,0
52047A222,19:00:00,24:00:00,960,0
53047A212,05:00:00,19:00:00,960,0
53047A224,19:00:00,24:00:00,960,0
51052C119,04:25:00,19:00:00,420,0
51052C121,19:00:00,25:00:00,480,0
7100L1112,05:00:00,06:00:00,600,0
52052C111,04:25:00,19:00:00,720,0
52052C123,19:00:00,25:00:00,780,0
53052C113,04:25:00,19:00:00,720,0
53052C125,19:00:00,25:00:00,780,0
51052C210,04:25:00,19:00:00,420,0
51052C222,19:00:00,25:00:00,480,0
7100L1124,06:00:00,07:00:00,480,0
52052C212,04:25:00,19:00:00,720,0
52052C224,19:00:00,25:00:00,780,0
53052C214,04:25:00,19:00:00,780,0
53052C226,19:00:00,25:00:00,780,0
7100L1136,07:00:00,09:00:00,360,0
7100L1148,09:00:00,11:00:00,600,0
7100L1151,11:00:00,13:00:00,900,0
7100L1163,13:00:00,18:00:00,600,0
7100L1175,18:00:00,21:00:00,480,0
7100L1187,21:00:00,23:00:00,600,0
7100L1199,23:00:00,24:30:00,900,0
7200L1114,06:00:00,07:00:00,900,0
7200L1126,07:00:00,20:00:00,600,0
7200L1138,20:00:00,24:30:00,900,0
7300L1116,07:00:00,24:30:00,900,0
7100L1213,06:00:00,07:00:00,480,0
7100L1225,05:00:00,06:00:00,600,0
7100L1237,07:00:00,09:00:00,360,0
7100L1249,09:00:00,18:00:00,600,0
510131117,04:15:00,19:00:00,240,0
510131129,19:00:00,24:35:00,300,0
520131119,04:40:00,19:00:00,540,0
520131121,19:00:00,23:40:00,600,0
7100L1252,18:00:00,21:00:00,480,0
530131111,04:40:00,19:00:00,840,0
7100L1264,21:00:00,23:00:00,600,0
530131123,19:00:00,23:40:00,900,0
510131218,04:15:00,19:00:00,240,0
7100L1276,23:00:00,24:30:00,900,0
510131220,19:00:00,24:35:00,300,0
520131210,04:15:00,19:00:00,540,0
7200L1215,06:00:00,07:00:00,900,0
520131222,19:00:00,23:40:00,600,0
7200L1227,07:00:00,22:00:00,600,0
530131212,04:40:00,19:00:00,840,0
