agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id
CC,SAUSA,Metro Tacubaya - La Valenciana,Corredor de transporte operado por la empresa SAUSA que va del metro Tacubaya a La Velenciana con cinco derivaciones.,3,http://sausa.mx/,753bbd,,CMX1SAUS7
CC,ATROLSA,Chapultepec - Palmas,Corredor de transporte operado por la empresa ATL que va de Chapultepec a Palmas con cuatro derivaciones.,3,,753bbd,,CMX1ATRO6
CC,CEUSA,Peñón - Panteón San Isidro,Corredor de Transporte Operado por la Empresa CEUSA que va de Peñón a Panteón San Isidro con 5 derivaciones ,3,,753bbd,,CMX1CEUS8
CC,ACASA,Chapultepec - Av.602, Corredor de transporte operado por la empresa ACASA que va del metro Chapultepec a Av. 602 con cinco derivaciones   ,3,,753bbd,,CMX1ACAS9
CC,AMOPSA,Constitución de 1917 - Alameda Oriente, Corredor de transporte operado por la empresa AMOPSA que va del metro Constitución a la Alameda Oriente con cinco derivaciones   ,3,,753bbd,,CMX1AMOP9
CC,AUISA,Tepalcates - San Antonio Abad, Corredor de transporte operado por la empresa AUISA que va del metro Tepalcates a San Antonio Abad con cinco derivaciones   ,3,,753bbd,,CMX1AUIS7
CC,CASSUR,Metro Universidad-La Mora, Corredor de transporte operado por la empresa CASSUR que va del metro Universidad a La Mora con cinco derivaciones   ,3,,753bbd,,CMX1CASS7
CC,CONGESA,Aeropuerto - Tacubaya, Corredor de transporte operado por la empresa CONGESA que va de Aeropuerto a Chapultepec con cinco derivaciones   ,3,,753bbd,,CMX1CONG5
CC,COAVEO,Metro Pantitlán-Tacuba, Corredor de transporte operado por la empresa COAVEO que va del metro Pantitlán a Tacuba con cinco derivaciones   ,3,,753bbd,,CMX1COAV6
CC,COPATTSA,Metro Pantitlán-Toreo, Corredor de transporte operado por la empresa COPATTSA que va del metro Pantitlán a Toreo con cinco derivaciones   ,3,,753bbd,,CMX1COPA4
CC,COPESA,Canal de Garay-Toreo, Corredor de transporte operado por la empresa COPESA que va de Canal de Garay a Toreo con cinco derivaciones   ,3,,753bbd,,CMX1COPE3
CC,COREVSA,Chapultepec - San Ángel, Corredor de transporte operado por la empresa COREVSA que va del metro Chapultepec a San Ángel con cinco derivaciones   ,3,http://www.corevsa.com.mx/,753bbd,,CMX1CORE7
