trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
2100L1112,1,200L1-PANTITLÁN3,00:00:00,00:00:00,NA,0,0,
2100L1112,2,200L1-ZARAGOZA8,00:02:00,00:02:24,NA,0,0,
2100L1112,3,200L1-GÓMEZ_FAR2,00:03:35,00:03:59,NA,0,0,
2100L1112,4,200L1-BLVD._PUE4,00:05:05,00:05:29,NA,0,0,
2100L1112,5,200L1-BALBUENA8,00:06:30,00:06:54,NA,0,0,
2100L1112,6,200L1-MOCTEZUMA6,00:08:05,00:08:29,NA,0,0,
2100L1112,7,200L1-SAN_LÁZAR5,00:09:25,00:09:55,NA,0,0,
2100L1112,8,200L1-CANDELARI3,00:11:15,00:11:39,NA,0,0,
2100L1112,9,200L1-MERCED4,00:12:50,00:13:14,NA,0,0,
2100L1112,10,200L1-PINO_SUÁR8,00:14:35,00:15:08,NA,0,0,
2100L1112,11,200L1-ISABEL_LA5,00:16:00,00:16:24,NA,0,0,
2100L1112,12,200L1-SALTO_DEL2,00:17:20,00:17:44,NA,0,0,
2100L1112,13,200L1-BALDERAS_6,00:18:50,00:19:20,NA,0,0,
2100L1112,14,200L1-CUAUHTÉMO0,00:20:10,00:20:34,NA,0,0,
2100L1112,15,200L1-INSURGENT4,00:21:50,00:22:14,NA,0,0,
2100L1112,16,200L1-SEVILLA3,00:23:20,00:23:44,NA,0,0,
2100L1112,17,200L1-CHAPULTEP1,00:24:40,00:25:04,NA,0,0,
2100L1112,18,200L1-JUANACATL1,00:26:30,00:26:54,NA,0,0,
2100L1112,19,200L1-TACUBAYA_7,00:28:25,00:28:49,NA,0,0,
2100L1112,20,200L1-OBSERVATO7,00:30:29,00:30:53,NA,0,0,
2100L2114,1,200L2-TASQUEÑA2,00:00:00,00:00:00,NA,0,0,
2100L2114,2,200L2-GENERAL_A8,00:01:55,00:02:15,NA,0,0,
2100L2114,3,200L2-ERMITA3,00:03:30,00:03:50,NA,0,0,
2100L2114,4,200L2-PORTALES5,00:05:00,00:05:20,NA,0,0,
2100L2114,5,200L2-NATIVITAS0,00:06:40,00:06:58,NA,0,0,
2100L2114,6,200L2-VILLACORT6,00:08:10,00:08:28,NA,0,0,
2100L2114,7,200L2-XOLA_14,00:09:35,00:09:53,NA,0,0,
2100L2114,8,200L2-VIADUCTO_2,00:10:55,00:11:13,NA,0,0,
2100L2114,9,200L2-CHABACANO6,00:12:25,00:12:43,NA,0,0,
2100L2114,10,200L2-SAN_ANTON8,00:13:50,00:14:08,NA,0,0,
2100L2114,11,200L2-PINO_SUÁR3,00:15:35,00:16:05,NA,0,0,
2100L2114,12,200L2-ZÓCALO4,00:17:15,00:17:45,NA,0,0,
2100L2114,13,200L2-ALLENDE3,00:18:55,00:19:15,NA,0,0,
2100L2114,14,200L2-BELLAS_AR0,00:20:10,00:20:30,NA,0,0,
2100L2114,15,200L2-HIDALGO_12,00:21:25,00:21:51,NA,0,0,
2100L2114,16,200L2-REVOLUCIÓ4,00:22:55,00:23:15,NA,0,0,
2100L2114,17,200L2-SAN_COSME6,00:24:15,00:24:33,NA,0,0,
2100L2114,18,200L2-NORMAL9,00:25:40,00:25:58,NA,0,0,
2100L2114,19,200L2-COLEGIO_M8,00:27:00,00:27:18,NA,0,0,
2100L2114,20,200L2-POPOTLA1,00:28:15,00:28:33,NA,0,0,
2100L2114,21,200L2-CUITLÁHUA5,00:29:35,00:29:55,NA,0,0,
2100L2114,22,200L2-TACUBA_10,00:31:10,00:31:40,NA,0,0,
2100L2114,23,200L2-PANTEONES5,00:33:25,00:33:41,NA,0,0,
2100L2114,24,200L2-CUATRO_CA2,00:36:50,00:36:50,NA,0,0,
2100L2215,1,200L2-CUATRO_CA2,00:00:00,00:00:00,NA,0,0,
2100L2215,2,200L2-PANTEONES5,00:02:25,00:02:41,NA,0,0,
2100L2215,3,200L2-TACUBA_10,00:04:35,00:05:05,NA,0,0,
2100L2215,4,200L2-CUITLÁHUA5,00:06:15,00:06:33,NA,0,0,
2100L2215,5,200L2-POPOTLA1,00:07:35,00:07:53,NA,0,0,
2100L2215,6,200L2-COLEGIO_M8,00:08:50,00:09:10,NA,0,0,
2100L2215,7,200L2-NORMAL9,00:10:10,00:10:28,NA,0,0,
2100L2215,8,200L2-SAN_COSME6,00:11:35,00:11:53,NA,0,0,
2100L2215,9,200L2-REVOLUCIÓ4,00:12:50,00:13:10,NA,0,0,
2100L2215,10,200L2-HIDALGO_12,00:14:15,00:14:41,NA,0,0,
2100L2215,11,200L2-BELLAS_AR0,00:15:35,00:15:55,NA,0,0,
2100L2215,12,200L2-ALLENDE3,00:16:50,00:17:10,NA,0,0,
2100L2215,13,200L2-ZÓCALO4,00:18:20,00:18:50,NA,0,0,
