stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
300L6-ESTACIÓN_5,,ESTACIÓN 414,DescripciÃ³n ,19.46858498,-99.07166004,,,0,,1
300L6-ESTACIÓN_6,,ESTACIÓN 482,DescripciÃ³n ,19.46699685,-99.07555461,,,0,,1
5019A-RISACOLAA3,,ESTACIÓN 41428503,,19.44476144,-99.16729689,,,0,,0
5162B-FESO_JUME5,,ESTACIÓN 41428800,,19.34205265,-98.97966027,,,0,,0
5162B-PEDROINFA4,,ESTACIÓN 41428805,,19.33930922,-98.98011088,,,0,,0
5162B-PEIN_ENRA2,,ESTACIÓN 41428812,,19.33906626,-98.97891998,,,0,,0
5162B-ENRA_JILG6,,ESTACIÓN 41428830,,19.33803366,-98.97934914,,,0,,0
5162B-MAMOC_PLI2,,ESTACIÓN 41428832,,19.33828675,-98.98072243,,,0,,0
5162B-PILI_ALVA8,,ESTACIÓN 41428833,,19.33788181,-98.98091555,,,0,,0
5013A-ESTACIÓN_2,,ESTACIÓN 41428963,,19.30016727,-99.20918226,,,0,,0
5162B-ALBE_VASQ5,,ESTACIÓN 41428974,,19.33789193,-98.98070097,,,0,,0
5162B-LURE_PEVA4,,ESTACIÓN 41428990,,19.33881317,-98.97762179,,,0,,0
5162B-LURE_CUSA0,,ESTACIÓN 41428991,,19.33922823,-98.97734284,,,0,,0
50043-JOLOFAPUT7,,ESTACIÓN 41429207,,19.47338973,-99.07941699,,,0,,0
50043-JOLOFA4147,,ESTACIÓN 41429219,,19.47048667,-99.07978177,,,0,,0
50167-BEJU_ESTR6,,ESTACIÓN 41429690,,19.33741613,-98.99152637,,,0,,0
50167-BEJU_MARA4,,ESTACIÓN 41429693,,19.33558375,-98.99199843,,,0,,0
50142-ESTACIÓN_7,,ESTACIÓN 41429859,,19.2465116,-99.07547951,,,0,,0
50119-ESCA_SAAN8,,ESTACIÓN 41429889,,19.3823687,-99.19902205,,,0,,0
50119-LOCA_SECA9,,ESTACIÓN 41430592,,19.37882639,-99.2172718,,,0,,0
50119-LOCA_HEVI0,,ESTACIÓN 41430705,,19.37888711,-99.21860218,,,0,,0
5119B-ESTACIÓN_1,,ESTACIÓN 41430722,,19.37759162,-99.22323704,,,0,,0
50119-GUDO_ROOS2,,ESTACIÓN 41430746,,19.37484879,-99.22337651,,,0,,0
50119-GUDO_TOJE3,,ESTACIÓN 41430748,,19.37416054,-99.22421336,,,0,,0
50119-GUDO_PUEP4,,ESTACIÓN 41430773,,19.37227797,-99.22613382,,,0,,0
50119-GUDO_PUET5,,ESTACIÓN 41430808,,19.37159983,-99.2269063,,,0,,0
50119-GUSDIAORD1,,ESTACIÓN 41430836,,19.37149862,-99.23124075,,,0,,0
5116A-20AGOSTO_8,,ESTACIÓN 41434385,,19.3538256,-99.14624691,,,0,,0
5116A-HE47_CONV9,,ESTACIÓN 41434386,,19.35115323,-99.14927244,,,0,,0
5116A-XICO_CORI5,,ESTACIÓN 41434387,,19.35153789,-99.15128946,,,0,,0
5116A-PREPA6_2,,ESTACIÓN 41434389,,19.35117348,-99.15322065,,,0,,0
5116A-MIHI_SAPE3,,ESTACIÓN 41434390,,19.35064709,-99.15594578,,,0,,0
5116A-MIHI_MORE3,,ESTACIÓN 41434391,,19.35048513,-99.15734053,,,0,,0
5116A-MIHI_ABAS2,,ESTACIÓN 41434393,,19.34991825,-99.1599369,,,0,,0
5116A-CUAU_ABAS9,,ESTACIÓN 41434394,,19.35155814,-99.1603446,,,0,,0
5116A-MALI_IGAL5,,ESTACIÓN 41434395,,19.35222623,-99.16193247,,,0,,0
5116A-MALI_CENT8,,ESTACIÓN 41434397,,19.35188206,-99.16365981,,,0,,0
5116A-CENTMEXIC7,,ESTACIÓN 41434400,,19.35087992,-99.16396022,,,0,,0
5116A-BEDO_AYUN0,,ESTACIÓN 41434411,,19.35168973,-99.16783333,,,0,,0
5116A-MEOC_PEVA9,,ESTACIÓN 41434412,,19.35115323,-99.16968942,,,0,,0
5116A-GUIPERVAL3,,ESTACIÓN 41434414,,19.35115323,-99.17275786,,,0,,0
5116A-PEVA_TLAP8,,ESTACIÓN 41434417,,19.35132532,-99.1752255,,,0,,0
5116A-PEVA_UNIV0,,ESTACIÓN 41434420,,19.35186182,-99.17738199,,,0,,0
5116A-VALER_MAR9,,ESTACIÓN 41434427,,19.35207439,-99.17992473,,,0,,0
5116A-VALER_INS6,,ESTACIÓN 41434428,,19.35156826,-99.18600798,,,0,,0
5116A-REVO_CADL8,,ESTACIÓN 41434430,,19.34860229,-99.19070721,,,0,,0
5116A-REFO_CADL3,,ESTACIÓN 41434432,,19.3485213,-99.19341087,,,0,,0
5116A-LEVA_DIRI7,,ESTACIÓN 41434434,,19.34888573,-99.1978097,,,0,,0
5116A-CAMREAMIN4,,ESTACIÓN 41434530,,19.34623352,-99.21277642,,,0,,0
5116A-CARM_DELE5,,ESTACIÓN 41434532,,19.34592982,-99.21134949,,,0,,0
5116A-CAMREAMIN7,,ESTACIÓN 41434533,,19.34716483,-99.2151475,,,0,,0
5116A-COLINA9,,ESTACIÓN 41434534,,19.34641573,-99.2227006,,,0,,0
5116A-RIGU_BELL5,,ESTACIÓN 41434543,,19.34583872,-99.22417045,,,0,,0
5116A-RIGU_RIBA1,,ESTACIÓN 41434551,,19.3455249,-99.22711015,,,0,,0
5116A-RILE_RIGR6,,ESTACIÓN 41434591,,19.34593995,-99.22766805,,,0,,0
5116A-RILE_RICO2,,ESTACIÓN 41434606,,19.34564638,-99.22892332,,,0,,0
5116A-RIGU_AJUS8,,ESTACIÓN 41434638,,19.34630438,-99.22464252,,,0,,0
557AX-ESTACIÓN_7,,ESTACIÓN 41434643,,19.34915904,-99.20114636,,,0,,0
5116A-VALER_TEC7,,ESTACIÓN 41434648,,19.35039402,-99.18638349,,,0,,0
5116A-VALER_INS4,,ESTACIÓN 41434650,,19.35176059,-99.18426991,,,0,,0
5116A-GUPV_SANO6,,ESTACIÓN 41434655,,19.35157838,-99.17684555,,,0,,0
5116A-GUPV_RIRE5,,ESTACIÓN 41434756,,19.35097102,-99.174335,,,0,,0
5116A-GUPV_MEOC4,,ESTACIÓN 41434763,,19.35095078,-99.16982889,,,0,,0
5116A-ESTACIÓN_1,,ESTACIÓN 41434769,,19.35287408,-99.16349888,,,0,,0
5116A-ESTACIÓN_9,,ESTACIÓN 41434782,,19.35368389,-99.15955067,,,0,,0
5116A-ESTACIÓN_8,,ESTACIÓN 41434787,,19.35417989,-99.15619254,,,0,,0
5116A-ESTACIÓN_6,,ESTACIÓN 41434791,,19.35499982,-99.15252328,,,0,,0
