route_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,trip_id
CMX200L16,21L1009,,Pantitlán - Observatorio,,,SH200L11,0,2100L1112
CMX200L28,21L1009,,Tasqueña - Cuatro Caminos,,,SH200L21,0,2100L2114
CMX200L28,21L1009,,Cuatro Caminos - Tasqueña,,,SH200L22,0,2100L2215
CMX200L30,21L1009,,Universidad - Indios Verdes,,,SH200L31,0,2100L3116
CMX200L30,21L1009,,Indios Verdes - Universidad,,,SH200L32,0,2100L3217
CMX200L42,21L1009,,Santa Anita - Martín Carrera,,,SH200L41,0,2100L4118
CMX200L42,21L1009,,Martín Carrera - Santa Anita,,,SH200L42,0,2100L4219
CMX200L55,21L1009,,Politécnico - Pantitlán,,,SH200L51,0,2100L5112
CMX200L67,21L1009,,El Rosario - Martín Carrera,,,SH200L61,0,2100L6113
CMX200L16,21L1009,,Pantitlán - Observatorio,,,SH200L11,0,2100L1124
CMX200L16,21L1009,,Pantitlán - Observatorio,,,SH200L11,0,2100L1136
CMX200L16,22L1001,,Pantitlán - Observatorio,,,SH200L11,0,2200L1114
CMX200L16,23L1003,,Pantitlán - Observatorio,,,SH200L11,0,2300L1116
CMX200L28,21L1009,,Tasqueña - Cuatro Caminos,,,SH200L21,0,2100L2126
CMX200L28,21L1009,,Tasqueña - Cuatro Caminos,,,SH200L21,0,2100L2138
CMX200L28,22L1001,,Tasqueña - Cuatro Caminos,,,SH200L21,0,2200L2116
CMX200L28,23L1003,,Tasqueña - Cuatro Caminos,,,SH200L21,0,2300L2118
CMX200L28,21L1009,,Cuatro Caminos - Tasqueña,,,SH200L22,0,2100L2227
CMX200L28,21L1009,,Cuatro Caminos - Tasqueña,,,SH200L22,0,2100L2239
CMX200L28,22L1001,,Cuatro Caminos - Tasqueña,,,SH200L22,0,2200L2217
CMX200L28,23L1003,,Cuatro Caminos - Tasqueña,,,SH200L22,0,2300L2219
CMX200L30,21L1009,,Universidad - Indios Verdes,,,SH200L31,0,2100L3128
CMX200L30,21L1009,,Universidad - Indios Verdes,,,SH200L31,0,2100L3130
CMX200L30,22L1001,,Universidad - Indios Verdes,,,SH200L31,0,2200L3118
CMX200L30,23L1003,,Universidad - Indios Verdes,,,SH200L31,0,2300L3110
CMX200L30,21L1009,,Indios Verdes - Universidad,,,SH200L32,0,2100L3229
CMX200L30,21L1009,,Indios Verdes - Universidad,,,SH200L32,0,2100L3231
CMX200L30,22L1001,,Indios Verdes - Universidad,,,SH200L32,0,2200L3219
CMX200L30,23L1003,,Indios Verdes - Universidad,,,SH200L32,0,2300L3211
CMX200L42,22L1001,,Santa Anita - Martín Carrera,,,SH200L41,0,2200L4110
CMX200L42,23L1003,,Santa Anita - Martín Carrera,,,SH200L41,0,2300L4112
CMX200L42,22L1001,,Martín Carrera - Santa Anita,,,SH200L42,0,2200L4211
CMX200L42,23L1003,,Martín Carrera - Santa Anita,,,SH200L42,0,2300L4213
CMX200L55,21L1009,,Politécnico - Pantitlán,,,SH200L51,0,2100L5124
CMX200L55,21L1009,,Politécnico - Pantitlán,,,SH200L51,0,2100L5136
CMX200L55,22L1001,,Politécnico - Pantitlán,,,SH200L51,0,2200L5114
CMX200L55,23L1003,,Politécnico - Pantitlán,,,SH200L51,0,2300L5116
CMX200L55,21L1009,,Pantitlán - Politécnico,,,SH200L52,0,2100L5213
CMX200L55,21L1009,,Pantitlán - Politécnico,,,SH200L52,0,2100L5225
CMX200L55,21L1009,,Pantitlán - Politécnico,,,SH200L52,0,2100L5237
CMX200L55,22L1001,,Pantitlán - Politécnico,,,SH200L52,0,2200L5215
CMX200L55,23L1003,,Pantitlán - Politécnico,,,SH200L52,0,2300L5217
CMX200L67,21L1009,,El Rosario - Martín Carrera,,,SH200L61,0,2100L6125
CMX200L67,22L1001,,El Rosario - Martín Carrera,,,SH200L61,0,2200L6115
CMX200L67,21L1009,,El Rosario - Martín Carrera,,,SH200L61,0,2100L6137
CMX200L67,23L1003,,El Rosario - Martín Carrera,,,SH200L61,0,2300L6117
CMX200L67,21L1009,,Martín Carrera - El Rosario,,,SH200L62,0,2100L6214
CMX200L67,21L1009,,Martín Carrera - El Rosario,,,SH200L62,0,2100L6226
CMX200L67,21L1009,,Martín Carrera - El Rosario,,,SH200L62,0,2100L6238
CMX200L67,22L1001,,Martín Carrera - El Rosario,,,SH200L62,0,2200L6216
CMX200L67,23L1003,,Martín Carrera - El Rosario,,,SH200L62,0,2300L6218
CMX200L79,21L1009,,El Rosario - Barranca del Muerto,,,SH200L71,0,2100L7115
CMX200L79,21L1009,,El Rosario - Barranca del Muerto,,,SH200L71,0,2100L7127
CMX200L79,21L1009,,El Rosario - Barranca del Muerto,,,SH200L71,0,2100L7139
CMX200L79,22L1001,,El Rosario - Barranca del Muerto,,,SH200L71,0,2200L7117
CMX200L79,23L1003,,El Rosario - Barranca del Muerto,,,SH200L71,0,2300L7119
CMX200L79,21L1009,,Barranca del Muerto - El Rosario,,,SH200L72,0,2100L7216
CMX200L79,21L1009,,Barranca del Muerto - El Rosario,,,SH200L72,0,2100L7228
CMX200L79,21L1009,,Barranca del Muerto - El Rosario,,,SH200L72,0,2100L7230
CMX200L79,22L1001,,Barranca del Muerto - El Rosario,,,SH200L72,0,2200L7218
CMX200L79,23L1003,,Barranca del Muerto - El Rosario,,,SH200L72,0,2300L7210
CMX200L81,21L1009,,Constitución de 1917 - Garibaldi,,,SH200L81,0,2100L8117
CMX200L81,21L1009,,Constitución de 1917 - Garibaldi,,,SH200L81,0,2100L8129
CMX200L81,21L1009,,Constitución de 1917 - Garibaldi,,,SH200L81,0,2100L8131
CMX200L81,22L1001,,Constitución de 1917 - Garibaldi,,,SH200L81,0,2200L8119
CMX200L81,23L1003,,Constitución de 1917 - Garibaldi,,,SH200L81,0,2300L8111
CMX200L93,21L1009,,Pantitlán - Tacubaya,,,SH200L91,0,2100L9119
CMX200L93,21L1009,,Pantitlán - Tacubaya,,,SH200L91,0,2100L9121
CMX200L93,21L1009,,Pantitlán - Tacubaya,,,SH200L91,0,2100L9133
CMX200L93,22L1001,,Pantitlán - Tacubaya,,,SH200L91,0,2200L9111
CMX200L93,23L1003,,Pantitlán - Tacubaya,,,SH200L91,0,2300L9113
CMX200L93,21L1009,,Tacubaya - Pantitlán,,,SH200L92,0,2100L9210
CMX200L93,21L1009,,Tacubaya - Pantitlán,,,SH200L92,0,2100L9222
CMX200L93,21L1009,,Tacubaya - Pantitlán,,,SH200L92,0,2100L9234
CMX200L93,22L1001,,Tacubaya - Pantitlán,,,SH200L92,0,2200L9212
CMX200L93,23L1003,,Tacubaya - Pantitlán,,,SH200L92,0,2300L9214
CMX200LA6,21L1009,,Pantitlán - La Paz,,,SH200LA1,0,2100LA112
CMX200LA6,21L1009,,Pantitlán - La Paz,,,SH200LA1,0,2100LA124
CMX200LA6,21L1009,,Pantitlán - La Paz,,,SH200LA1,0,2100LA136
CMX200LA6,22L1001,,Pantitlán - La Paz,,,SH200LA1,0,2200LA114
CMX200LA6,23L1003,,Pantitlán - La Paz,,,SH200LA1,0,2300LA116
CMX200LA6,21L1009,,La Paz - Pantitlán,,,SH200LA2,0,2100LA213
CMX200LA6,21L1009,,La Paz - Pantitlán,,,SH200LA2,0,2100LA225
CMX200LA6,21L1009,,La Paz - Pantitlán,,,SH200LA2,0,2100LA237
CMX200LA6,22L1001,,La Paz - Pantitlán,,,SH200LA2,0,2200LA215
CMX200LA6,23L1003,,La Paz - Pantitlán,,,SH200LA2,0,2300LA217
CMX200LB8,21L1009,,Ciudad Azteca - Buenavista,,,SH200LB1,0,2100LB114
CMX200LB8,21L1009,,Ciudad Azteca - Buenavista,,,SH200LB1,0,2100LB126
CMX200LB8,21L1009,,Ciudad Azteca - Buenavista,,,SH200LB1,0,2100LB138
CMX200LB8,22L1001,,Ciudad Azteca - Buenavista,,,SH200LB1,0,2200LB116
CMX200LB8,23L1003,,Ciudad Azteca - Buenavista,,,SH200LB1,0,2300LB118
CMX200LB8,21L1009,,Buenavista - Ciudad Azteca,,,SH200LB2,0,2100LB215
